year    month   day             Temperature
    2018       8       4        28.23533
    2018       8       5          30.004
    2018       8       6        29.99334
    2018       8       7        26.82933
    2018       8       8        22.86133
    2018       8       9        25.53533
    2018       8      10          23.392
    2018       8      11          26.386
    2018       8      12        26.53933
    2018       8      13        26.63267
    2018       8      14        27.73867
    2018       8      15           27.58
    2018       8      16        26.44733
    2018       8      17        23.92867
    2018       8      18        24.12867
    2018       8      19        24.02667
    2018       8      20           23.45
    2018       8      21          21.702
    2018       8      22        18.83533
    2018       8      23         -9999.9
    2018       8      24         -9999.9
    2018       8      25         -9999.9
    2018       8      26         -9999.9
    2018       8      27         -9999.9
    2018       8      28        26.88733
    2018       8      29        25.97133
    2018       8      30        18.80467
    2018       8      31        21.25933
    2018       9       1          24.686
    2018       9       2        24.25867
    2018       9       3        27.97533
    2018       9       4          24.322
    2018       9       5        30.62933
    2018       9       6        21.67933
    2018       9       7          21.988
    2018       9       8          14.432
    2018       9       9        12.87267
    2018       9      10          12.618
    2018       9      11        17.10667
    2018       9      12        21.54866
    2018       9      13        21.80733
    2018       9      14        25.17267
    2018       9      15        27.55134
    2018       9      16        27.51334
    2018       9      17        26.29667
    2018       9      18          20.934
    2018       9      19        20.05333
    2018       9      20        17.91733
    2018       9      21        28.58533
    2018       9      22        13.67467
    2018       9      23        16.62333
    2018       9      24        14.92667
    2018       9      25           19.17
    2018       9      26        15.95867
    2018       9      27        14.81867
    2018       9      28        17.37733
    2018       9      29          12.784
    2018       9      30         9.42533
    2018      10       1         7.06133
    2018      10       2        12.11667
    2018      10       3              11
    2018      10       4           14.21
    2018      10       5         9.88533
    2018      10       6        15.38333
    2018      10       7          14.592
    2018      10       8        12.81933
    2018      10       9        25.26533
    2018      10      10        24.17333
    2018      10      11        14.18333
    2018      10      12         6.76133
    2018      10      13         6.68133
    2018      10      14           11.69
    2018      10      15          10.908
    2018      10      16         7.17533
    2018      10      17         5.05133
    2018      10      18           3.746
    2018      10      19        12.31467
    2018      10      20           9.878
    2018      10      21         2.77267
    2018      10      22         9.02067
    2018      10      23         4.62267
    2018      10      24           3.518
    2018      10      25         5.59267
    2018      10      26           6.114
    2018      10      27               2
    2018      10      28           3.364
    2018      10      29           4.836
    2018      10      30         8.01467
    2018      10      31          12.218
    2018      11       1         6.35267
    2018      11       2         3.40667
    2018      11       3         4.19267
    2018      11       4           5.794
    2018      11       5         9.28933
    2018      11       6          13.336
    2018      11       7         5.59667
    2018      11       8         3.19067
    2018      11       9         0.36667
    2018      11      10          -3.264
    2018      11      11         0.91533
    2018      11      12         4.64733
    2018      11      13        -1.44933
    2018      11      14          -1.872
    2018      11      15        -2.01933
    2018      11      16         0.37933
